split,metric,mean,std,min,max
validation,MAE,5.434018465826965,0.47595222773861545,5.152388416757241,5.983543546128858
validation,RMSE,9.94914239781458,1.1672255183217592,9.141786241701105,11.28745807329117
validation,R2,0.9241930996692179,0.018186162244561526,0.9033141564834941,0.9365790541854578
validation,NSE,0.9241930996692179,0.018186162244561526,0.9033141564834941,0.9365790541854578
validation,KGE,0.9145539534179015,0.06485205308527585,0.8400041715429831,0.9579555323821014
validation,sMAPE,13.506628612946983,0.11933555500277329,13.369103061328957,13.5828758177214
test,MAE,7.207416599204835,0.5615552040425469,6.589823871212041,7.687323056226397
test,RMSE,14.953889759901621,1.0778768787477073,13.711162472040526,15.634753250411421
test,R2,0.9311206883537883,0.009692350921568931,0.9249655245636706,0.9422931535354953
test,NSE,0.9311206883537883,0.009692350921568931,0.9249655245636706,0.9422931535354953
test,KGE,0.8975051232214896,0.018139781801014124,0.8767961790587046,0.9105810668782237
test,sMAPE,15.114595487466751,0.48120854037309674,14.761769026416166,15.662756987140531
