rank,gauge_id,consumptive_use,consumptive_use_perc,reservoirs_vol,regulation_degree,q_quality_control_perc,q_stream_stage_perc,gauge_name,gauge_lat,gauge_lon,area_ana,area_gsim,area_gsim_quality,elev_mean,slope_mean,area,crop_perc,forest_perc,imperv_perc,dom_land_cover,p_mean,pet_mean,aridity,p_seasonality,score_quality,score_forest,score_imperv,score_consumptive,score_regulation,score_reservoirs,has_local_dynamic_data,score_data_availability,recommended_score
1,71200000,1.6595,0.144,0.0,0.0,100.0,80.849,vila_canoas,-27.8028,-49.7786,1010.0,1003.974,high,1188.4726,123.9397,1003.974,0.0,86.3116,0.0,forest,4.34583,2.30877,0.53126,0.13131,1.0,0.863116,1.0,0.8741258741258742,1.0,1.0,True,1.0,0.9634340598601399
2,84520000,0.8041,0.0828,0.0,0.0,100.0,97.577,divisa_de_anitapolis,-27.9956,-49.1161,380.0,375.7677,high,802.2369,121.2654,375.7677,0.0447,93.1889,0.0,forest,4.71617,2.2779,0.483,0.37159,1.0,0.9318890000000001,1.0,0.9235315847801995,1.0,1.0,False,0.0,0.779591733564832
3,59370000,1.6572,0.154,0.0,0.0,100.0,83.381,fazenda_fortaleza,-22.96,-44.5608,635.0,637.3362,high,1175.9015,141.4573,637.3362,0.302,91.1736,0.0,forest,4.83951,2.68956,0.55575,0.95084,1.0,0.9117359999999999,1.0,0.8665511265164645,1.0,1.0,False,0.0,0.7680565002426344
4,83345000,1.2179,0.1819,0.0,0.0,100.0,88.501,barra_do_prata,-26.6983,-49.8311,1430.0,1451.856,high,683.481,74.0472,1451.856,0.1696,90.9075,0.0,forest,4.43749,2.27644,0.513,0.16864,1.0,0.909075,1.0,0.8460952703274389,1.0,1.0,False,0.0,0.7644642432523903
5,82320000,1.623,0.1478,0.0,0.0,100.0,72.348,corupa,-26.4239,-49.2925,182.0,187.4833,high,749.4755,79.1203,187.4833,0.0454,87.0177,0.0,forest,4.60767,2.246,0.48745,0.25803,1.0,0.8701770000000001,1.0,0.8712319219376199,1.0,1.0,False,0.0,0.7638183475100192
6,71300000,1.341,0.1374,0.0,0.0,100.0,65.01,rio_bonito,-27.7022,-49.84,2000.0,1981.574,high,1110.9737,111.3567,1981.574,0.0,84.3422,0.0,forest,4.34399,2.29432,0.52816,0.13577,1.0,0.843422,1.0,0.8791981712678038,1.0,1.0,False,0.0,0.7618823474028487
7,58542000,1.1595,0.0975,0.0,0.0,100.0,90.171,santa_rita_do_jacutinga,-22.1519,-44.0906,355.0,342.306,high,1004.2092,119.827,342.306,1.5408,79.4042,0.0,forest,4.81439,2.57065,0.53395,1.02317,1.0,0.794042,1.0,0.9111617312072894,1.0,1.0,False,0.0,0.7610709169931663
8,71350001,1.4297,0.1564,0.0,0.0,100.0,66.434,encruzilhada_ii,-27.5078,-50.1128,3230.0,3314.156,high,1029.6564,83.0752,3314.156,0.0203,85.3446,0.0,forest,4.36584,2.28051,0.52235,0.12592,1.0,0.853446,1.0,0.8647526807333102,1.0,1.0,False,0.0,0.7607739489173296
9,71250000,1.0698,0.1127,0.0,0.0,100.0,74.428,ponte_do_rio_joao_paulo,-27.8297,-49.6269,489.0,488.1934,high,1114.3247,129.7475,488.1934,0.0,79.8486,0.0,forest,4.34493,2.27706,0.52407,0.15448,1.0,0.798486,1.0,0.8987148377819718,1.0,1.0,False,0.0,0.7596126940451156
10,65180000,1.0468,0.1313,0.0,0.0,100.0,99.247,salto_canoinhas,-26.3722,-50.2881,772.0,766.1714,high,898.5903,50.3189,766.1714,0.5885,81.5789,0.0,forest,4.37958,2.34603,0.53568,0.1358,1.0,0.8157890000000001,1.0,0.8839388314328649,1.0,1.0,False,0.0,0.7593248930292584
11,71383000,1.4896,0.1695,0.0,0.0,100.0,83.942,ponte_alta_do_sul,-27.4858,-50.3917,4610.0,4698.219,high,990.8031,68.8791,4698.219,0.0143,84.5662,0.0,forest,4.38803,2.27873,0.51931,0.12129,1.0,0.8456619999999999,1.0,0.8550662676357418,1.0,1.0,False,0.0,0.7582900428217187
12,70100000,0.8607,0.0876,0.0,0.0,98.563,93.415,despraiado,-28.3694,-49.8025,533.0,515.2479,high,1394.9449,76.343,515.2479,0.0,75.8649,0.0,forest,4.43515,2.31598,0.52219,0.15398,0.98563,0.758649,1.0,0.9194556822361163,1.0,1.0,False,0.0,0.7547019891577786
13,59380000,1.1729,0.0874,0.0,0.0,97.139,87.762,parati,-23.2247,-44.7614,79.0,80.4906,high,970.3195,205.4389,80.4906,5.7734,77.9956,0.0,forest,4.83765,3.236,0.66892,0.85132,0.97139,0.779956,1.0,0.9196247930844216,1.0,1.0,False,0.0,0.7538682868935075
14,58060000,1.9942,0.219,0.0,0.0,99.398,98.836,ponte_alta_1,-23.33,-45.1436,277.0,267.9615,high,1201.3404,75.1846,267.9615,0.3252,85.3008,0.0,forest,4.85774,2.83865,0.58436,0.81174,0.99398,0.853008,1.0,0.8203445447087776,1.0,1.0,False,0.0,0.7521712871534044
15,84150100,2.1602,0.1986,0.0,0.0,99.589,82.806,eta_casan-montante,-27.6925,-48.7097,522.0,536.271,high,467.672,119.404,536.271,3.8456,82.593,0.0,forest,4.67849,2.33045,0.49812,0.40406,0.9958899999999999,0.82593,1.0,0.834306691139663,1.0,1.0,False,0.0,0.7516142705823461
